skill,YesOrNo
hadoop, Y
hive, Y
data,N
sqoop,Y
hdfs,Y
cluster,N
spark,Y
pig,Y
mapreduce,Y
hbase,Y
scala,Y
hive queries,Y
tables,N
map,N
ecosystem,N
queries,N
flume,Y
hive tables,Y
hadoop developer,Y
exprience,N
hadoop ecosystem,Y
data hive,Y
oozie,Y
hive sqoop,Y
sql,Y
months,N
description,N
rdbms,Y
impala,Y
data rdbms,Y
january,N
pcb,N
maharashtra,N
engineer,N
months pcb,N
exprience months pcb,N
quality engineer,Y
pcb design,N
matrix technologies,N
design engineer,N
machine,N
details,N
design,N
university january,N
university january ssc,N
matrix,N
engineering,N
civil,N
january ssc,N
board,N
mechanical,N
project,N
details january,N
civil engineering,N
ssc,N
diploma,N
exprience,N
details diploma project speed,N
system solar,N
knowledge mspower,N
bootstrap,Y
php,Y
jquery,Y
size,N
bootstrap php,Y
css,Y
size position,N
html css bootstrap php,Y
position software developer synopsis,N
position software,N
sql team size position,N
css bootstrap php jquery,Y
sql team,N
position software developer,N
software developer synopsis,N
developer synopsis,N
database sql team size,N
technologies html css bootstrap,N
sql team size,N
html css bootstrap,Y
php jquery,Y
css bootstrap php,Y
team size position software,N
database sql team,N
size position software developer,N
bootstrap php jquery,Y
team size position,N
size position software,N
synopsis,N
css bootstrap,Y